x,y,z,theta,dist_l,conf_l,dist_r,conf_r
2841.38964844, 4297.61914062, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.35654017, 4297.71914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.3234319, 4297.81914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.29032364, 4297.91914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.25721537, 4298.01914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.2241071, 4298.11914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.19099884, 4298.21914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.15789057, 4298.31914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.1247823, 4298.41914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.09167404, 4298.51914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.05856577, 4298.61914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2841.0254575, 4298.71914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.99234924, 4298.81914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.95924097, 4298.91914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.9261327, 4299.01914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.89302444, 4299.11914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.85991617, 4299.21914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.8268079, 4299.31914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.79369964, 4299.41914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.76059137, 4299.51914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.7274831, 4299.61914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.69437483, 4299.71914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.66126657, 4299.81914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.6281583, 4299.91914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.59505003, 4300.01914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.56194177, 4300.11914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.5288335, 4300.21914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.49572523, 4300.31914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.46261697, 4300.41914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.4295087, 4300.51914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.39640043, 4300.61914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.36329217, 4300.71914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.3301839, 4300.81914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.29707563, 4300.91914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.26396737, 4301.01914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.2308591, 4301.11914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.19775083, 4301.21914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.16464257, 4301.31914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.1315343, 4301.41914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.09842603, 4301.51914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.06531777, 4301.61914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.0322095, 4301.71914063, 0.0, 1.89051991649, 2.79996399879, -1, 2.79996399879, -1
2840.01293945, 4301.77734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.97985445, 4301.87734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.94676944, 4301.97734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.91368443, 4302.07734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.88059942, 4302.17734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.84751441, 4302.27734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.8144294, 4302.37734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.7813444, 4302.47734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.74825939, 4302.57734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.71517438, 4302.67734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.68208937, 4302.77734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.64900436, 4302.87734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.61591936, 4302.97734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.58283435, 4303.07734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.54974934, 4303.17734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.51666433, 4303.27734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.48357932, 4303.37734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.45049432, 4303.47734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.41740931, 4303.57734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.3843243, 4303.67734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.35123929, 4303.77734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.31815428, 4303.87734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.28506928, 4303.97734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.25198427, 4304.07734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.21889926, 4304.17734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.18581425, 4304.27734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.15272924, 4304.37734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.11964423, 4304.47734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.08655923, 4304.57734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.05347422, 4304.67734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2839.02038921, 4304.77734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.9873042, 4304.87734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.95421919, 4304.97734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.92113419, 4305.07734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.88804918, 4305.17734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.85496417, 4305.27734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.82187916, 4305.37734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.78879415, 4305.47734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.75570915, 4305.57734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.72262414, 4305.67734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.68953913, 4305.77734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.65645412, 4305.87734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
2838.62336911, 4305.97734375, 0.0, 1.89031029148, 2.80000214577, -1, 2.80000214577, -1
